Adipose_Subcutaneous	#F46D00
Adipose_Visceral_Omentum	#F5AF00
Adrenal_Gland	#4EE000
Artery_Aorta	#F45B55
Artery_Coronary	#F6AE98
Artery_Tibial	#F32100
Brain_Amygdala	#F0FB71
Brain_Anterior_cingulate_cortex_BA24	#F0FB71
Brain_Caudate_basal_ganglia	#F0FB71
Brain_Cerebellar_Hemisphere	#F0FB71
Brain_Cerebellum	#F0FB71
Brain_Cortex	#F0FB71
Brain_Frontal_Cortex_BA9	#F0FB71
Brain_Hippocampus	#F0FB71
Brain_Hypothalamus	#F0FB71
Brain_Nucleus_accumbens_basal_ganglia	#F0FB71
Brain_Putamen_basal_ganglia	#F0FB71
Brain_Spinal_cord_cervical_c-1	#F0FB71
Brain_Substantia_nigra	#F0FB71
Breast_Mammary_Tissue	#55CBCB
Cells_EBV-transformed_lymphocytes	#C959FD
Cells_Transformed_fibroblasts	#B3ECFF
Colon_Sigmoid	#E7BD71
Colon_Transverse	#C79C4E
Esophagus_Gastroesophageal_Junction	#887653
Esophagus_Mucosa	#502400
Esophagus_Muscularis	#B79A88
Heart_Atrial_Appendage	#9C01FF
Heart_Left_Ventricle	#65009C
Liver	#A8BE5E
Lung	#AEFF22
Minor_Salivary_Gland	#CCCCCC
Muscle_Skeletal	#AFA4FF
Nerve_Tibial	#F5DB00
Ovary	#FAA7FF
Pancreas	#93581C
Pituitary	#B1FF91
Prostate	#DCDDDD
Skin_Not_Sun_Exposed_Suprapubic	#3E01FF
Skin_Sun_Exposed_Lower_leg	#826AFE
Small_Intestine_Terminal_Ileum	#54581C
Spleen	#768A51
Stomach	#F9E093
Testis	#AAAAAA
Thyroid	#166900
Uterus	#F75BFD
Vagina	#F5559B
Whole_Blood	#F500BF
