Id	Chr	TSS	TSS
ENSG00000223972.4	1	11869	11869
ENSG00000243485.2	1	29554	29554
ENSG00000227232.4	1	29806	29806
ENSG00000237613.2	1	36081	36081
ENSG00000268020.2	1	52473	52473
ENSG00000240361.1	1	62948	62948
ENSG00000186092.4	1	69091	69091
ENSG00000233750.3	1	131025	131025
ENSG00000238009.2	1	133566	133566
ENSG00000268903.1	1	135895	135895
ENSG00000269981.1	1	137965	137965
ENSG00000237683.5	1	139379	139379
ENSG00000239906.1	1	140339	140339
ENSG00000222623.1	1	157887	157887
ENSG00000241599.1	1	160446	160446
ENSG00000241860.2	1	173862	173862
ENSG00000241670.2	1	228775	228775
ENSG00000228463.4	1	267253	267253
ENSG00000237094.7	1	317720	317720
ENSG00000250575.1	1	326096	326096
ENSG00000233653.3	1	332236	332236
ENSG00000224813.2	1	334126	334126
ENSG00000235249.1	1	367640	367640
ENSG00000269732.1	1	379467	379467
ENSG00000256186.1	1	450910	450910
ENSG00000236743.1	1	459656	459656
ENSG00000236601.1	1	460480	460480
ENSG00000236679.2	1	470971	470971
ENSG00000235146.2	1	523009	523009
ENSG00000231709.1	1	523833	523833
ENSG00000239664.2	1	532878	532878
ENSG00000223659.1	1	564390	564390
ENSG00000225972.1	1	564442	564442
ENSG00000225630.1	1	565020	565020
ENSG00000237973.1	1	566454	566454
ENSG00000229344.1	1	568137	568137
ENSG00000268663.1	1	610222	610222
ENSG00000185097.2	1	622053	622053
ENSG00000229376.3	1	657472	657472
ENSG00000230021.3	1	659930	659930
ENSG00000224956.5	1	663527	663527
ENSG00000235373.1	1	685396	685396
ENSG00000223181.1	1	693716	693716
ENSG00000240618.1	1	694503	694503
ENSG00000229905.1	1	696291	696291
ENSG00000228327.2	1	714006	714006
ENSG00000237491.4	1	714150	714150
ENSG00000269831.1	1	739137	739137
ENSG00000230092.3	1	744003	744003
ENSG00000177757.1	1	752751	752751
ENSG00000240453.1	1	753092	753092
ENSG00000225880.4	1	762902	762902
